,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
5307,129321885,155727470.0,152418192.0,95282512.0,313859506.0,6.6462,6.8129,6.8948,6.8436,6.5413,6.7029,1
5308,155727470,152418192.0,95282512.0,313859506.0,177605826.0,6.8129,6.8948,6.8436,6.5413,6.7029,6.8654,1
5309,152418192,95282512.0,313859506.0,177605826.0,148030444.0,6.8948,6.8436,6.5413,6.7029,6.8654,6.9714,1
5310,95282512,313859506.0,177605826.0,148030444.0,141517615.0,6.8436,6.5413,6.7029,6.8654,6.9714,6.8835,0
5311,313859506,177605826.0,148030444.0,141517615.0,150428307.0,6.5413,6.7029,6.8654,6.9714,6.8835,6.759,0
5312,177605826,148030444.0,141517615.0,150428307.0,170303943.0,6.7029,6.8654,6.9714,6.8835,6.759,6.621,0
5313,148030444,141517615.0,150428307.0,170303943.0,211205526.0,6.8654,6.9714,6.8835,6.759,6.621,6.5695,0
5314,141517615,150428307.0,170303943.0,211205526.0,189042294.0,6.9714,6.8835,6.759,6.621,6.5695,6.4504,0
5315,150428307,170303943.0,211205526.0,189042294.0,141505636.0,6.8835,6.759,6.621,6.5695,6.4504,6.6066,1
5316,170303943,211205526.0,189042294.0,141505636.0,338562315.0,6.759,6.621,6.5695,6.4504,6.6066,6.307,0
5317,211205526,189042294.0,141505636.0,338562315.0,751820583.0,6.621,6.5695,6.4504,6.6066,6.307,6.8822,1
5318,189042294,141505636.0,338562315.0,751820583.0,519953389.0,6.5695,6.4504,6.6066,6.307,6.8822,6.9151,1
5319,141505636,338562315.0,751820583.0,519953389.0,288777529.0,6.4504,6.6066,6.307,6.8822,6.9151,6.8436,0
5320,338562315,751820583.0,519953389.0,288777529.0,172007646.0,6.6066,6.307,6.8822,6.9151,6.8436,6.686,0
5321,751820583,519953389.0,288777529.0,172007646.0,169958934.0,6.307,6.8822,6.9151,6.8436,6.686,7.0359,1
5322,519953389,288777529.0,172007646.0,169958934.0,281225314.0,6.8822,6.9151,6.8436,6.686,7.0359,7.1895,1
5323,288777529,172007646.0,169958934.0,281225314.0,378487355.0,6.9151,6.8436,6.686,7.0359,7.1895,7.1278,0
5324,172007646,169958934.0,281225314.0,378487355.0,221522567.0,6.8436,6.686,7.0359,7.1895,7.1278,7.2728,1
5325,169958934,281225314.0,378487355.0,221522567.0,170578017.0,6.686,7.0359,7.1895,7.1278,7.2728,7.1846,0
