Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
27268068,52315342.0,26712096.0,40221194.0,54839120.0,1.8326,1.8414,1.821,1.8492,1.8609,1.8442,0
52315342,26712096.0,40221194.0,54839120.0,44456642.0,1.8414,1.821,1.8492,1.8609,1.8442,1.8326,0
26712096,40221194.0,54839120.0,44456642.0,39096734.0,1.821,1.8492,1.8609,1.8442,1.8326,1.8414,1
40221194,54839120.0,44456642.0,39096734.0,33518168.0,1.8492,1.8609,1.8442,1.8326,1.8414,1.8326,0
54839120,44456642.0,39096734.0,33518168.0,30819471.0,1.8609,1.8442,1.8326,1.8414,1.8326,1.8058,0
44456642,39096734.0,33518168.0,30819471.0,50906642.0,1.8442,1.8326,1.8414,1.8326,1.8058,1.7611,0
39096734,33518168.0,30819471.0,50906642.0,63007052.0,1.8326,1.8414,1.8326,1.8058,1.7611,1.821,1
33518168,30819471.0,50906642.0,63007052.0,65221594.0,1.8414,1.8326,1.8058,1.7611,1.821,1.8646,1
30819471,50906642.0,63007052.0,65221594.0,65665132.0,1.8326,1.8058,1.7611,1.821,1.8646,1.9079,1
50906642,63007052.0,65221594.0,65665132.0,71412362.0,1.8058,1.7611,1.821,1.8646,1.9079,1.9401,1
63007052,65221594.0,65665132.0,71412362.0,78134115.0,1.7611,1.821,1.8646,1.9079,1.9401,1.9132,0
65221594,65665132.0,71412362.0,78134115.0,31328614.0,1.821,1.8646,1.9079,1.9401,1.9132,1.8887,0
65665132,71412362.0,78134115.0,31328614.0,12818800.0,1.8646,1.9079,1.9401,1.9132,1.8887,1.9057,1
71412362,78134115.0,31328614.0,12818800.0,19646754.0,1.9079,1.9401,1.9132,1.8887,1.9057,1.9079,1
78134115,31328614.0,12818800.0,19646754.0,32428079.0,1.9401,1.9132,1.8887,1.9057,1.9079,1.8813,0
31328614,12818800.0,19646754.0,32428079.0,28052056.0,1.9132,1.8887,1.9057,1.9079,1.8813,1.9132,1
12818800,19646754.0,32428079.0,28052056.0,25721955.0,1.8887,1.9057,1.9079,1.8813,1.9132,1.8646,0
