,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
52,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,1
53,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,1
54,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,0
55,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,0
56,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,0
57,77081680.0,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,38.0375,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,0
58,60539840.0,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,37.85625,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,39.55,1
59,65262800.0,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,40.190625,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,39.55,39.125,0
60,64458960.0,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,42.284375,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,39.55,39.125,39.23125,1
61,82414000.0,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,43.434375,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,39.55,39.125,39.23125,39.4,1
62,57397320.0,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,46.2625,46.91875,43.25,42.40625,40.9375,39.3875,39.55,39.125,39.23125,39.4,39.55625,1
63,38979520.0,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,46.91875,43.25,42.40625,40.9375,39.3875,39.55,39.125,39.23125,39.4,39.55625,42.43125,1
64,58489680.0,72246080.0,60249680.0,60356200.0,61183440.0,49662840.0,47422200.0,37064760.0,37696400.0,51372400.0,43.25,42.40625,40.9375,39.3875,39.55,39.125,39.23125,39.4,39.55625,42.43125,43.03125,1
