,t-1,t
540,0.5428,0.5329
541,0.5329,0.5329
542,0.5329,0.5466
543,0.5466,0.5532
544,0.5532,0.5597
545,0.5597,0.571
546,0.571,0.5903
547,0.5903,0.5764
548,0.5764,0.571
549,0.571,0.5649
550,0.5649,0.5659
551,0.5659,0.5851
552,0.5851,0.5659
553,0.5659,0.5621
554,0.5621,0.5814
555,0.5814,0.5649
556,0.5649,0.5597
557,0.5597,0.5621
558,0.5621,0.575
559,0.575,0.6068
560,0.6068,0.6417
561,0.6417,0.6467
562,0.6467,0.6391
563,0.6391,0.6404
564,0.6404,0.6621
565,0.6621,0.6826
566,0.6826,0.6788
567,0.6788,0.6991
568,0.6991,0.6788
569,0.6788,0.6762
570,0.6762,0.6942
571,0.6942,0.6839
572,0.6839,0.6583
573,0.6583,0.6671
574,0.6671,0.6788
575,0.6788,0.6583
576,0.6583,0.661
577,0.661,0.6724
578,0.6724,0.6724
579,0.6724,0.6724
580,0.6724,0.6685
581,0.6685,0.6543
582,0.6543,0.6467
583,0.6467,0.6543
584,0.6543,0.6467
585,0.6467,0.6517
586,0.6517,0.6864
587,0.6864,0.6991
588,0.6991,0.7144
589,0.7144,0.7144
590,0.7144,0.7248
591,0.7248,0.7262
592,0.7262,0.7118
593,0.7118,0.7683
594,0.7683,0.7952
595,0.7952,0.7785
596,0.7785,0.8478
597,0.8478,0.8235
598,0.8235,0.7825
599,0.7825,0.8375
600,0.8375,0.8017
601,0.8017,0.794
602,0.794,0.8427
603,0.8427,0.8835
604,0.8835,0.8644
605,0.8644,0.8861
606,0.8861,0.8913
607,0.8913,0.8861
608,0.8861,0.8785
609,0.8785,0.8591
610,0.8591,0.8618
611,0.8618,0.8401
612,0.8401,0.8427
613,0.8427,0.9016
614,0.9016,0.936
615,0.936,0.9925
616,0.9925,1.0604
617,1.0604,1.0144
618,1.0144,0.9963
619,0.9963,0.977
620,0.977,1.0078
621,1.0078,1.045
622,1.045,1.1038
623,1.1038,1.1038
624,1.1038,1.1167
625,1.1167,1.077
626,1.077,1.0374
627,1.0374,1.0796
628,1.0796,1.0937
629,1.0937,1.0731
630,1.0731,1.0309
631,1.0309,1.0654
632,1.0654,1.0579
633,1.0579,1.0412
634,1.0412,1.0144
635,1.0144,1.0412
636,1.0412,1.0694
637,1.0694,1.0526
638,1.0526,1.0924
639,1.0924,1.0899
640,1.0899,1.077
641,1.077,1.0579
642,1.0579,1.0654
643,1.0654,1.0731
644,1.0731,1.0374
645,1.0374,0.9977
646,0.9977,1.0295
647,1.0295,1.0654
648,1.0654,1.1462
649,1.1462,1.1462
650,1.1462,1.1167
651,1.1167,1.0821
652,1.0821,1.1014
653,1.1014,1.1331
654,1.1331,1.1218
655,1.1218,1.077
656,1.077,1.0847
657,1.0847,1.1331
658,1.1331,1.1411
659,1.1411,1.1358
660,1.1358,1.1935
661,1.1935,1.1858
662,1.1858,1.2128
663,1.2128,1.1935
664,1.1935,1.1974
665,1.1974,1.2294
666,1.2294,1.2407
667,1.2407,1.2653
668,1.2653,1.2768
669,1.2768,1.273
670,1.273,1.2819
671,1.2819,1.2768
672,1.2768,1.2819
673,1.2819,1.2614
674,1.2614,1.2321
675,1.2321,1.2076
676,1.2076,1.2553
677,1.2553,1.2665
678,1.2665,1.2512
679,1.2512,1.2115
680,1.2115,1.1704
681,1.1704,1.191
682,1.191,1.191
683,1.191,1.1858
684,1.1858,1.2459
685,1.2459,1.2717
686,1.2717,1.278
687,1.278,1.2626
688,1.2626,1.2433
689,1.2433,1.2347
690,1.2347,1.2433
691,1.2433,1.2553
692,1.2553,1.2433
693,1.2433,1.2433
694,1.2433,1.2553
695,1.2553,1.2553
696,1.2553,1.2626
697,1.2626,1.2626
698,1.2626,1.2553
699,1.2553,1.3269
700,1.3269,1.2944
701,1.2944,1.3269
702,1.3269,1.3104
703,1.3104,1.3421
704,1.3421,1.319
705,1.319,1.3421
706,1.3421,1.2944
707,1.2944,1.2944
708,1.2944,1.3037
709,1.3037,1.2944
710,1.2944,1.278
711,1.278,1.2985
712,1.2985,1.3037
713,1.3037,1.2553
714,1.2553,1.191
715,1.191,1.2076
716,1.2076,1.2154
717,1.2154,1.2944
718,1.2944,1.3741
719,1.3741,1.4062
720,1.4062,1.4062
721,1.4062,1.3829
722,1.3829,1.3356
723,1.3356,1.3229
724,1.3229,1.3587
725,1.3587,1.3356
726,1.3356,1.3587
727,1.3587,1.3512
728,1.3512,1.3394
729,1.3394,1.3104
730,1.3104,1.3269
731,1.3269,1.319
732,1.319,1.2872
733,1.2872,1.3512
734,1.3512,1.3829
735,1.3829,1.479
736,1.479,1.4869
737,1.4869,1.5443
738,1.5443,1.5853
739,1.5853,1.561
740,1.561,1.5687
741,1.5687,1.5687
742,1.5687,1.5853
743,1.5853,1.561
744,1.561,1.6006
745,1.6006,1.657
746,1.657,1.6967
747,1.6967,1.6725
748,1.6725,1.6648
749,1.6648,1.6648
750,1.6648,1.6648
751,1.6648,1.6648
752,1.6648,1.7288
753,1.7288,1.68
754,1.68,1.6648
755,1.6648,1.6403
756,1.6403,1.6163
757,1.6163,1.5971
758,1.5971,1.6892
759,1.6892,1.7211
760,1.7211,1.7441
761,1.7441,1.6967
762,1.6967,1.657
763,1.657,1.657
764,1.657,1.6648
765,1.6648,1.657
766,1.657,1.6083
767,1.6083,1.7328
768,1.7328,1.7684
769,1.7684,1.8085
770,1.8085,1.8414
771,1.8414,1.7853
772,1.7853,1.7441
773,1.7441,1.8085
774,1.8085,1.8646
775,1.8646,1.8722
776,1.8722,1.8966
777,1.8966,1.7853
778,1.7853,1.7775
779,1.7775,1.7366
780,1.7366,1.7328
781,1.7328,1.7044
782,1.7044,1.7441
783,1.7441,1.7044
784,1.7044,1.6648
785,1.6648,1.5443
786,1.5443,1.1679
787,1.1679,1.1038
788,1.1038,1.2959
789,1.2959,1.1768
790,1.1768,1.1371
791,1.1371,0.8966
792,0.8966,0.9682
793,0.9682,1.0731
794,1.0731,1.2653
795,1.2653,1.2361
796,1.2361,1.2407
797,1.2407,1.1601
798,1.1601,1.1526
799,1.1526,1.2167
800,1.2167,1.2089
801,1.2089,1.1921
802,1.1921,1.1601
803,1.1601,1.1921
804,1.1921,1.2407
805,1.2407,1.1921
806,1.1921,1.1768
807,1.1768,1.1206
808,1.1206,1.1601
809,1.1601,1.1038
810,1.1038,1.1371
811,1.1371,1.1601
812,1.1601,1.1845
813,1.1845,1.1679
814,1.1679,1.1206
815,1.1206,1.0566
816,1.0566,1.0641
817,1.0641,1.0399
818,1.0399,0.9758
819,0.9758,0.9849
820,0.9849,1.0566
821,1.0566,1.1038
822,1.1038,1.1206
823,1.1206,1.1128
824,1.1128,1.0886
825,1.0886,1.1921
826,1.1921,1.2013
827,1.2013,1.2562
828,1.2562,1.2562
829,1.2562,1.2959
830,1.2959,1.3366
831,1.3366,1.3294
832,1.3294,1.3524
833,1.3524,1.3638
834,1.3638,1.2883
835,1.2883,1.3486
836,1.3486,1.3894
837,1.3894,1.3447
838,1.3447,1.4327
839,1.4327,1.4282
840,1.4282,1.4012
