t-1,t-2,t-3,t-4,t-5,t,movement
11011919238.4,6579393908.4,4467075523.4,6087845300.55,110.13,110.47,1
11717742135.11,11011919238.4,6579393908.4,4467075523.4,110.37,110.38,0
5588455511.2,11717742135.11,11011919238.4,6579393908.4,110.74,111.16,1
4977880748.68,5588455511.2,11717742135.11,11011919238.4,114.78,112.32,1
4790248407.36,4977880748.68,5588455511.2,11717742135.11,108.8,111.68,0
4026225265.92,4790248407.36,4977880748.68,5588455511.2,110.47,110.25,0
5553214332.75,4026225265.92,4790248407.36,4977880748.68,110.38,107.98,0
7715856780.98,5553214332.75,4026225265.92,4790248407.36,111.16,101.4,0
13568175613.2,7715856780.98,5553214332.75,4026225265.92,112.32,98.855,0
16722219568.285,13568175613.2,7715856780.98,5553214332.75,111.68,99.452,1
10747813144.364,16722219568.285,13568175613.2,7715856780.98,110.25,105.15,1
10614774837.150002,10747813144.364,16722219568.285,13568175613.2,107.98,108.25,1
9554776205.75,10614774837.150002,10747813144.364,16722219568.285,101.4,108.6,1
6022694817.0,9554776205.75,10614774837.150002,10747813144.364,98.855,108.09,0
6339974957.37,6022694817.0,9554776205.75,10614774837.150002,99.452,103.26,0
8277370235.46,6339974957.37,6022694817.0,9554776205.75,105.15,107.7,1
6952930525.5,8277370235.46,6339974957.37,6022694817.0,108.25,105.81,0
5875639246.14,6952930525.5,8277370235.46,6339974957.37,108.6,104.74,0
5462488775.82,5875639246.14,6952930525.5,8277370235.46,108.09,107.67,1
6159717363.42,5462488775.82,5875639246.14,6952930525.5,103.26,105.6,0
9364360790.4,6159717363.42,5462488775.82,5875639246.14,107.7,107.92,1
7078270989.6,9364360790.4,6159717363.42,5462488775.82,105.81,109.49,1
5700975137.95,7078270989.6,9364360790.4,6159717363.42,104.74,110.54,1
6729769269.54,5700975137.95,7078270989.6,9364360790.4,107.67,111.47,1
5039622906.72,6729769269.54,5700975137.95,7078270989.6,105.6,111.59,1
4327107575.6,5039622906.72,6729769269.54,5700975137.95,107.92,109.22,0
7304423788.38,4327107575.6,5039622906.72,6729769269.54,109.49,108.76,0
8427749427.96,7304423788.38,4327107575.6,5039622906.72,110.54,110.44,1
5785749936.559999,8427749427.96,7304423788.38,4327107575.6,111.47,108.71,0
5709202537.009999,5785749936.559999,8427749427.96,7304423788.38,111.59,109.59,1
4087602779.91,5709202537.009999,5785749936.559999,8427749427.96,109.22,110.24,1
5766367996.48,4087602779.91,5709202537.009999,5785749936.559999,108.76,109.96,0
6440792421.679999,5766367996.48,4087602779.91,5709202537.009999,110.44,107.8,0
5857277533.8,6440792421.679999,5766367996.48,4087602779.91,108.71,104.55,0
8001194562.9,5857277533.8,6440792421.679999,5766367996.48,109.59,105.74,1
7332037929.259999,8001194562.9,5857277533.8,6440792421.679999,110.24,105.04,0
7004762774.88,7332037929.259999,8001194562.9,5857277533.8,109.96,105.82,1
6404472431.5,7004762774.88,7332037929.259999,8001194562.9,107.8,106.2,1
5766898950.0,6404472431.5,7004762774.88,7332037929.259999,104.55,106.71,1
5438400026.16,5766898950.0,6404472431.5,7004762774.88,105.74,106.2,0
5180727094.2,5438400026.16,5766898950.0,6404472431.5,105.04,104.96,0
6785971217.919999,5180727094.2,5438400026.16,5766898950.0,105.82,107.49,1
5912821636.41,6785971217.919999,5180727094.2,5438400026.16,106.2,106.99,0
3399442271.42,5912821636.41,6785971217.919999,5180727094.2,106.71,107.16,1
3694313674.2,3399442271.42,5912821636.41,6785971217.919999,106.2,105.66,0
4900541864.04,3694313674.2,3399442271.42,5912821636.41,104.96,107.23,1
4213967968.15,4900541864.04,3694313674.2,3399442271.42,107.49,106.44,0
4356042204.84,4213967968.15,4900541864.04,3694313674.2,106.99,107.1,1
3324682594.8,4356042204.84,4213967968.15,4900541864.04,107.16,109.08,1
5571799964.28,3324682594.8,4356042204.84,4213967968.15,105.66,109.07,0
4815727463.17,5571799964.28,3324682594.8,4356042204.84,107.23,110.72,1
4810862279.04,4815727463.17,5571799964.28,3324682594.8,106.44,114.16,1
7069658925.76,4810862279.04,4815727463.17,5571799964.28,107.1,110.51,0
7646733040.42,7069658925.76,4810862279.04,4815727463.17,109.08,109.81,0
8005016898.57,7646733040.42,7069658925.76,4810862279.04,109.07,114.34,1
10203869794.14,8005016898.57,7646733040.42,7069658925.76,110.72,115.54,1
6174104047.6,10203869794.14,8005016898.57,7646733040.42,114.16,114.56,0
5899212440.32,6174104047.6,10203869794.14,8005016898.57,110.51,116.16,1
3901267518.72,5899212440.32,6174104047.6,10203869794.14,109.81,117.51,1
5579656118.940001,3901267518.72,5899212440.32,6174104047.6,114.34,116.95,0
5471910630.900001,5579656118.940001,3901267518.72,5899212440.32,115.54,116.42,0
4782860158.1,5471910630.900001,5579656118.940001,3901267518.72,114.56,116.56,1
4000401443.04,4782860158.1,5471910630.900001,5579656118.940001,116.16,116.07,0
4083550945.65,4000401443.04,4782860158.1,5471910630.900001,117.51,112.43,0
6904937244.620001,4083550945.65,4000401443.04,4782860158.1,116.95,111.79,0
5250472790.150001,6904937244.620001,4083550945.65,4000401443.04,116.42,111.41,0
3763857948.63,5250472790.150001,6904937244.620001,4083550945.65,116.56,108.15,0
5146294714.05,3763857948.63,5250472790.150001,6904937244.620001,116.07,109.92,1
4350740002.56,5146294714.05,3763857948.63,5250472790.150001,112.43,109.46,0
3139897316.4,4350740002.56,5146294714.05,3763857948.63,111.79,112.91,1
5473915528.13,3139897316.4,4350740002.56,5146294714.05,111.41,114.36,1
5142865491.12,5473915528.13,3139897316.4,4350740002.56,108.15,114.86,1
4090565691.12,5142865491.12,5473915528.13,3139897316.4,109.92,113.35,0
3824336053.0,4090565691.12,5142865491.12,5473915528.13,109.46,114.45,1
5087459983.2,3824336053.0,4090565691.12,5142865491.12,112.91,113.63,0
2524377831.47,5087459983.2,3824336053.0,4090565691.12,114.36,113.41,0
1536834447.1699998,2524377831.47,5087459983.2,3824336053.0,114.86,113.9,1
4635286131.7,1536834447.1699998,2524377831.47,5087459983.2,113.35,112.95,0
4088872227.6,4635286131.7,1536834447.1699998,2524377831.47,114.45,111.95,0
3880188455.35,4088872227.6,4635286131.7,1536834447.1699998,113.63,110.91,0
4787945326.95,3880188455.35,4088872227.6,4635286131.7,113.41,114.6,1
6877394452.799999,4787945326.95,3880188455.35,4088872227.6,113.9,113.88,0
3795104637.48,6877394452.799999,4787945326.95,3880188455.35,112.95,113.83,0
4056531821.65,3795104637.48,6877394452.799999,4787945326.95,111.95,111.31,0
5360124367.82,4056531821.65,3795104637.48,6877394452.799999,110.91,111.84,1
3393547475.52,5360124367.82,4056531821.65,3795104637.48,114.6,108.97,0
5306841724.25,3393547475.52,5360124367.82,4056531821.65,113.88,108.29,0
7309261175.580001,5306841724.25,3393547475.52,5360124367.82,113.83,106.37,0
5891415095.83,7309261175.580001,5306841724.25,3393547475.52,111.31,107.19,1
6261412309.74,5891415095.83,7309261175.580001,5306841724.25,111.84,104.91,0
4878835983.059999,6261412309.74,5891415095.83,7309261175.580001,108.97,102.09,0
10227873684.57,4878835983.059999,6261412309.74,5891415095.83,108.29,103.33,1
5107786034.059999,10227873684.57,4878835983.059999,6261412309.74,106.37,103.23,0
3515376251.52,5107786034.059999,10227873684.57,4878835983.059999,107.19,104.56,1
3546752992.64,3515376251.52,5107786034.059999,10227873684.57,104.91,104.01,0
1468902651.0600002,3546752992.64,3515376251.52,5107786034.059999,102.09,102.83,0
2852230569.37,1468902651.0600002,3546752992.64,3515376251.52,103.33,104.68,1
3363149409.44,2852230569.37,1468902651.0600002,3546752992.64,103.23,103.32,0
2387425778.64,3363149409.44,2852230569.37,1468902651.0600002,104.56,101.35,0
4087621342.25,2387425778.64,3363149409.44,2852230569.37,104.01,101.44,1
6619990934.72,4087621342.25,2387425778.64,3363149409.44,102.83,98.885,0
5415317275.265,6619990934.72,4087621342.25,2387425778.64,104.68,96.949,0
6771760452.912,5415317275.265,6619990934.72,4087621342.25,103.32,92.857,0
7389994166.475,6771760452.912,5415317275.265,6619990934.72,101.35,93.349,1
6745712766.036,7389994166.475,6771760452.912,5415317275.265,101.44,94.86,1
4900817823.12,6745712766.036,7389994166.475,6771760452.912,98.885,96.238,1
4695341923.728,4900817823.12,6745712766.036,7389994166.475,96.949,93.762,0
5966364753.198,4695341923.728,4900817823.12,6745712766.036,92.857,95.814,1
6136651572.443999,5966364753.198,4695341923.728,4900817823.12,93.349,93.512,0
7606995006.04,6136651572.443999,5966364753.198,4695341923.728,94.86,93.059,0
5131417594.509,7606995006.04,6136651572.443999,5966364753.198,96.238,93.184,1
6740201022.464,5131417594.509,7606995006.04,6136651572.443999,93.762,92.712,0
4482050200.176001,6740201022.464,5131417594.509,7606995006.04,95.814,97.641,1
6521137945.362,4482050200.176001,6740201022.464,5131417594.509,93.512,95.736,0
4935445744.968,6521137945.362,4482050200.176001,6740201022.464,93.059,96.266,1
6059678909.574,4935445744.968,6521137945.362,4482050200.176001,93.184,89.941,0
12248494833.883,6059678909.574,4935445744.968,6521137945.362,92.712,90.585,1
5183443275.12,12248494833.883,6059678909.574,4935445744.968,97.641,93.715,1
5997935528.195001,5183443275.12,12248494833.883,6059678909.574,95.736,92.839,0
3708411520.416,5997935528.195001,5183443275.12,12248494833.883,96.266,90.961,0
3338707950.669,3708411520.416,5997935528.195001,5183443275.12,89.941,92.761,1
4282691421.295,3338707950.669,3708411520.416,5997935528.195001,90.585,93.506,1
4388483996.876,4282691421.295,3338707950.669,3708411520.416,93.715,91.009,0
4057837849.935,4388483996.876,4282691421.295,3338707950.669,92.839,91.968,1
5008795795.968,4057837849.935,4388483996.876,4282691421.295,90.961,91.948,0
3986711359.048,5008795795.968,4057837849.935,4388483996.876,92.761,91.252,0
3879465080.008,3986711359.048,5008795795.968,4057837849.935,93.506,90.7,0
4306058869.400001,3879465080.008,3986711359.048,5008795795.968,91.009,90.98,1
3693600854.14,4306058869.400001,3879465080.008,3986711359.048,91.968,93.545,1
4394647842.195,3693600854.14,4306058869.400001,3879465080.008,91.948,94.979,1
4160045342.707,4394647842.195,3693600854.14,4306058869.400001,91.252,93.177,0
3567124069.0470004,4160045342.707,4394647842.195,3693600854.14,90.7,92.965,0
3130067590.08,3567124069.0470004,4160045342.707,4394647842.195,90.98,93.778,1
3207608782.2840004,3130067590.08,3567124069.0470004,4160045342.707,93.545,91.659,0
2814387761.82,3207608782.2840004,3130067590.08,3567124069.0470004,94.979,93.022,1
3348178519.9100003,2814387761.82,3207608782.2840004,3130067590.08,93.177,93.66,1
2389881571.56,3348178519.9100003,2814387761.82,3207608782.2840004,92.965,93.808,1
2663505365.664,2389881571.56,3348178519.9100003,2814387761.82,93.778,93.594,0
2913966359.31,2663505365.664,2389881571.56,3348178519.9100003,91.659,97.309,1
4921705695.226,2913966359.31,2663505365.664,2389881571.56,93.022,97.522,1
3261452041.368,4921705695.226,2913966359.31,2663505365.664,93.66,98.26,1
3530351605.5,3261452041.368,4921705695.226,2913966359.31,93.808,99.73,1
4509776338.610001,3530351605.5,3261452041.368,4921705695.226,93.594,98.607,0
3318261824.874,4509776338.610001,3530351605.5,3261452041.368,97.309,97.797,0
3074117647.02,3318261824.874,4509776338.610001,3530351605.5,97.522,97.885,1
2448828296.885,3074117647.02,3318261824.874,4509776338.610001,98.26,97.935,1
3390732697.995,2448828296.885,3074117647.02,3318261824.874,99.73,98.984,1
2590708528.952,3390732697.995,2448828296.885,3074117647.02,98.607,99.233,1
2570693580.256,2590708528.952,3390732697.995,2448828296.885,97.797,101.24,1
4190653541.16,2570693580.256,2590708528.952,3390732697.995,97.885,102.57,1
4058762083.35,4190653541.16,2570693580.256,2590708528.952,97.935,102.41,0
3641639485.33,4058762083.35,4190653541.16,2570693580.256,98.984,102.53,1
4682296157.16,3641639485.33,4058762083.35,4190653541.16,99.233,102.52,0
3760144698.64,4682296157.16,3641639485.33,4058762083.35,101.24,103.3,1
3462378719.9,3760144698.64,4682296157.16,3641639485.33,102.57,102.73,0
2727873825.87,3462378719.9,3760144698.64,4682296157.16,102.41,102.28,0
2761303174.92,2727873825.87,3462378719.9,3760144698.64,102.53,101.82,0
1933509260.88,2761303174.92,2727873825.87,3462378719.9,102.52,104.24,1
3189124293.2,1933509260.88,2761303174.92,2727873825.87,103.3,106.05,1
4857931506.75,3189124293.2,1933509260.88,2761303174.92,102.73,105.5,0
2610331429.0,4857931506.75,3189124293.2,1933509260.88,102.28,106.46,1
2762148455.06,2610331429.0,4857931506.75,3189124293.2,101.82,107.56,1
3865936255.72,2762148455.06,2610331429.0,4857931506.75,104.24,106.3,0
2722276881.4,3865936255.72,2762148455.06,2610331429.0,106.05,107.41,1
2791005456.36,2722276881.4,3865936255.72,2762148455.06,105.5,105.06,0
3201713585.76,2791005456.36,2722276881.4,3865936255.72,106.46,105.18,1
2502313714.5,3201713585.76,2791005456.36,2722276881.4,107.56,105.53,1
2887283387.55,2502313714.5,3201713585.76,2791005456.36,106.3,106.91,1
2887829934.35,2887283387.55,2502313714.5,3201713585.76,107.41,108.44,1
3577084254.4,2887829934.35,2887283387.55,2502313714.5,105.06,108.5,1
2716221116.0,3577084254.4,2887829934.35,2887283387.55,105.18,106.34,0
4836102871.6,2716221116.0,3577084254.4,2887829934.35,105.53,104.04,0
6328463240.52,4836102871.6,2716221116.0,3577084254.4,106.91,103.49,0
3291983369.24,6328463240.52,4836102871.6,2716221116.0,108.44,103.71,1
2829575414.85,3291983369.24,6328463240.52,4836102871.6,108.5,102.57,0
3101899066.89,2829575414.85,3291983369.24,6328463240.52,106.34,102.29,0
3457528839.6000004,3101899066.89,2829575414.85,3291983369.24,104.04,101.71,0
2800267006.25,3457528839.6000004,3101899066.89,2829575414.85,103.49,101.01,0
4120431536.13,2800267006.25,3457528839.6000004,3101899066.89,103.71,94.678,0
10645090064.972,4120431536.13,2800267006.25,3457528839.6000004,102.57,91.792,0
7501346056.752,10645090064.972,4120431536.13,2800267006.25,102.29,90.739,0
6284403658.258,7501346056.752,10645090064.972,4120431536.13,101.71,90.641,0
4434949559.776,6284403658.258,7501346056.752,10645090064.972,101.01,92.132,1
5328316390.528,4434949559.776,6284403658.258,7501346056.752,94.678,91.174,0
