,t-1,t-2,t-3,t-4,t-5,t,movement
365,93.404,92.616,92.839,95.0,94.602,93.063,0
383,97.222,96.199,96.199,94.339,94.874,97.261,1
645,148.92,147.62,148.39,149.43,152.31,155.97,1
517,120.02,120.01,119.95,118.07,118.19,119.7,0
152,112.32,111.16,110.38,110.47,108.8,111.68,0
473,110.03,109.96,108.31,108.21,108.25,109.47,0
486,111.51,112.15,110.35,109.28,108.21,113.36,1
226,112.95,113.9,113.41,113.63,114.45,111.95,0
480,108.16,107.76,108.77,109.7,109.81,107.38,0
572,139.57,140.2,139.42,140.17,140.0,139.05,0
103,121.97,122.77,123.47,124.16,124.0,121.61,0
421,100.98,103.32,106.1,105.45,105.48,103.24,1
419,106.1,105.45,105.48,104.5,103.89,103.32,0
559,142.46,142.14,139.25,139.01,139.29,142.27,0
542,137.73,138.17,137.36,138.18,135.41,137.91,1
74,126.06,123.82,123.24,122.22,120.6,124.06,0
115,122.25,121.23,121.78,120.81,122.03,121.69,0
407,107.08,106.81,106.93,107.1,107.19,106.25,0
690,152.93,153.92,153.26,153.57,152.73,154.83,1
119,119.7,118.84,120.96,121.69,122.25,120.81,1
53,118.07,117.27,120.4,120.89,119.67,117.14,0
151,111.16,110.38,110.47,108.8,114.78,112.32,1
403,107.19,105.93,105.68,105.75,106.54,107.1,0
674,160.28,160.92,158.06,160.68,161.33,159.08,0
207,117.51,116.16,114.56,115.54,114.34,116.95,0
481,107.38,108.16,107.76,108.77,109.7,108.21,1
513,118.19,118.1,117.89,118.09,118.1,118.07,0
695,155.99,155.34,155.28,154.74,154.83,155.44,0
552,139.83,138.36,139.06,138.83,137.39,138.23,0
8,103.72,102.9,100.32,101.12,103.95,106.39,1
579,142.13,142.02,142.87,141.98,140.63,141.99,0
36,122.94,122.67,122.08,123.93,122.38,122.16,0
452,115.2,114.17,114.62,114.68,115.03,115.78,1
139,117.39,117.75,117.17,118.81,119.45,116.78,0
253,94.86,93.349,92.857,96.949,98.885,96.238,1
303,102.73,103.3,102.52,102.53,102.41,102.28,0
538,135.41,135.35,135.08,134.92,135.53,138.18,1
541,138.17,137.36,138.18,135.41,135.35,137.73,0
368,90.96,93.589,93.063,93.404,92.616,89.635,0
59,121.02,119.1,118.08,118.24,120.1,119.76,0
111,122.03,121.49,121.78,121.12,121.37,120.81,0
515,119.95,118.07,118.19,118.1,117.89,120.01,1
523,128.23,127.03,126.5,126.7,119.43,129.44,1
637,149.21,149.89,148.95,148.44,147.93,149.14,0
262,95.736,97.641,92.712,93.184,93.059,96.266,1
602,151.61,152.52,152.46,152.72,152.19,152.03,1
297,101.24,99.233,98.984,97.935,97.885,102.57,1
477,109.7,109.81,110.02,109.47,110.03,108.77,0
414,103.78,104.59,104.7,105.32,105.78,103.89,1
150,110.38,110.47,108.8,114.78,110.74,111.16,1
433,110.72,110.52,110.36,112.23,111.18,111.58,1
568,140.0,141.51,141.68,142.0,142.36,140.17,1
440,111.52,110.68,110.63,110.18,110.68,111.69,1
680,155.51,158.16,158.1,159.31,157.71,152.84,0
266,93.715,90.585,89.941,96.266,95.736,92.839,0
623,142.61,144.74,142.66,144.73,145.19,142.95,1
359,94.796,96.258,97.046,96.354,96.442,94.914,1
635,148.95,148.44,147.93,146.66,144.65,149.89,1
38,120.14,122.16,122.94,122.67,122.08,120.32,1
127,119.92,117.65,114.59,116.97,119.95,119.87,0
423,105.7,103.24,100.98,103.32,106.1,109.44,1
416,104.5,103.89,103.78,104.59,104.7,105.48,1
488,113.36,113.36,111.51,112.15,110.35,113.99,1
307,106.05,104.24,101.82,102.28,102.73,105.5,0
198,109.07,109.08,107.1,106.44,107.23,110.72,1
351,95.886,97.251,97.729,97.787,96.998,95.167,0
147,114.78,110.74,110.37,110.13,109.41,108.8,0
146,110.74,110.37,110.13,109.41,113.02,114.78,1
580,141.99,142.13,142.02,142.87,141.98,144.89,1
711,167.51,166.29,168.43,166.12,162.47,171.88,1
537,135.35,135.08,134.92,135.53,135.12,135.41,1
348,97.787,96.998,95.342,93.909,92.732,97.729,0
463,109.31,108.66,107.11,108.09,109.27,109.13,0
325,101.71,102.29,102.57,103.71,103.49,101.01,0
186,106.2,105.82,105.04,105.74,104.55,106.71,1
123,119.95,120.25,120.66,120.81,119.7,116.97,0
608,153.83,154.21,153.3,152.78,154.29,147.87,0
143,109.41,113.02,115.76,116.78,117.39,110.13,1
682,151.35,152.84,155.51,158.16,158.1,150.01,0
197,109.08,107.1,106.44,107.23,105.66,109.07,0
279,93.177,94.979,93.545,90.98,90.7,92.965,0
293,97.885,97.797,98.607,99.73,98.26,97.935,1
400,105.75,106.54,106.11,105.23,103.67,105.68,0
122,120.25,120.66,120.81,119.7,118.84,119.95,0
183,105.74,104.55,107.8,109.96,110.24,105.04,0
202,109.81,110.51,114.16,110.72,109.07,114.34,1
438,110.63,110.18,110.68,109.85,111.58,110.68,1
246,103.32,104.68,102.83,104.01,104.56,101.35,0
415,103.89,103.78,104.59,104.7,105.32,104.5,1
634,148.44,147.93,146.66,144.65,144.44,148.95,1
129,121.02,119.87,119.92,117.65,114.59,122.63,1
402,105.93,105.68,105.75,106.54,106.11,107.19,1
662,158.7,159.41,159.21,156.65,156.94,159.29,1
576,141.98,140.63,140.79,139.05,139.57,142.87,1
219,114.36,112.91,109.46,109.92,108.15,114.86,1
650,158.88,157.62,155.22,154.4,155.97,159.86,1
544,137.4,137.91,137.73,138.17,137.36,137.08,0
653,156.92,154.76,159.86,158.88,157.62,159.28,1
551,138.36,139.06,138.83,137.39,137.6,139.83,1
386,96.831,97.347,97.261,97.222,96.199,96.082,0
693,155.28,154.74,154.83,152.93,153.92,155.34,1
509,118.1,117.16,117.37,117.86,117.23,118.09,0
267,92.839,93.715,90.585,89.941,96.266,90.961,0
441,111.69,111.52,110.68,110.63,110.18,113.63,1
496,115.41,114.68,114.45,115.21,115.11,114.92,0
112,120.81,122.03,121.49,121.78,121.12,121.78,1
232,111.31,113.83,113.88,114.6,110.91,111.84,1
622,144.74,142.66,144.73,145.19,144.54,142.61,0
373,93.384,93.102,91.934,91.145,89.635,92.556,0
233,111.84,111.31,113.83,113.88,114.6,108.97,0
648,155.22,154.4,155.97,148.92,147.62,157.62,1
317,108.44,106.91,105.53,105.18,105.06,108.5,1
410,105.78,106.58,106.25,107.08,106.81,105.32,0
639,150.96,149.14,149.21,149.89,148.95,151.6,1
358,96.258,97.046,96.354,96.442,96.054,94.796,0
258,93.059,93.512,95.814,93.762,96.238,93.184,1
282,91.659,93.778,92.965,93.177,94.979,93.022,1
376,93.433,93.034,92.556,93.384,93.102,94.154,1
384,97.261,97.222,96.199,96.199,94.339,97.347,1
224,113.41,113.63,114.45,113.35,114.86,113.9,1
679,158.16,158.1,159.31,157.71,159.08,155.51,0
584,144.84,145.37,145.81,144.89,141.99,147.24,1
472,109.96,108.31,108.21,108.25,105.41,110.03,1
347,96.998,95.342,93.909,92.732,91.737,97.787,1
505,117.23,117.11,116.04,114.77,114.19,117.86,1
705,155.85,156.54,155.61,155.69,155.42,156.85,1
698,159.31,156.43,155.44,155.99,155.34,159.9,1
644,147.62,148.39,149.43,152.31,151.6,148.92,1
610,144.33,147.87,153.83,154.21,153.3,145.5,1
603,152.03,151.61,152.52,152.46,152.72,154.29,1
556,139.01,139.29,139.79,138.23,139.83,139.25,1
85,120.12,120.54,121.79,119.55,118.8,120.26,1
242,104.56,103.23,103.33,102.09,104.91,104.01,0
159,105.15,99.452,98.855,101.4,107.98,108.25,1
524,129.44,128.23,127.03,126.5,126.7,129.95,1
35,122.67,122.08,123.93,122.38,125.61,122.94,1
540,137.36,138.18,135.41,135.35,135.08,138.17,1
170,109.49,107.92,105.6,107.67,104.74,110.54,1
612,144.07,145.5,144.33,147.87,153.83,143.22,0
604,154.29,152.03,151.61,152.52,152.46,152.78,0
673,160.92,158.06,160.68,161.33,161.5,160.28,0
95,126.01,123.72,126.49,125.41,124.1,125.75,0
563,143.1,142.04,142.0,142.27,142.46,142.36,0
240,103.33,102.09,104.91,107.19,106.37,103.23,0
574,140.79,139.05,139.57,140.2,139.42,140.63,0
460,108.09,109.27,109.17,111.17,111.35,107.11,0
553,138.23,139.83,138.36,139.06,138.83,139.79,1
627,141.66,143.02,142.43,142.95,142.61,143.11,1
206,116.16,114.56,115.54,114.34,109.81,117.51,1
392,101.49,101.61,100.26,94.144,94.796,103.28,1
397,105.23,103.67,103.02,101.75,103.28,106.11,1
605,152.78,154.29,152.03,151.61,152.52,153.3,1
217,109.46,109.92,108.15,111.41,111.79,112.91,1
4,103.95,104.35,103.42,106.04,105.93,101.12,0
638,149.14,149.21,149.89,148.95,148.44,150.96,1
546,137.54,137.08,137.4,137.91,137.73,137.6,1
98,124.57,124.31,125.75,126.01,123.72,124.0,0
573,139.05,139.57,140.2,139.42,140.17,140.79,1
406,106.81,106.93,107.1,107.19,105.93,107.08,1
502,114.77,114.19,114.31,113.99,114.89,116.04,1
47,122.09,120.73,118.74,117.47,116.79,121.17,0
32,122.38,125.61,126.4,123.07,122.07,123.93,1
200,114.16,110.72,109.07,109.08,107.1,110.51,0
134,119.51,124.78,126.03,123.72,122.63,119.45,0
27,122.31,121.49,120.77,120.19,118.67,122.07,0
629,143.97,143.11,141.66,143.02,142.43,144.44,1
230,113.88,114.6,110.91,111.95,112.95,113.83,0
489,113.99,113.36,113.36,111.51,112.15,114.14,1
378,94.445,94.154,93.433,93.034,92.556,94.874,1
288,97.522,97.309,93.594,93.808,93.66,98.26,1
418,105.45,105.48,104.5,103.89,103.78,106.1,1
391,101.61,100.26,94.144,94.796,96.082,101.49,0
592,154.31,154.53,154.93,152.8,151.49,149.12,0
498,114.89,114.92,115.41,114.68,114.45,113.99,0
138,117.75,117.17,118.81,119.45,119.51,117.39,0
62,120.28,119.37,119.76,121.02,119.1,120.78,1
471,108.31,108.21,108.25,105.41,104.04,109.96,1
128,119.87,119.92,117.65,114.59,116.97,121.02,1
696,155.44,155.99,155.34,155.28,154.74,156.43,1
520,126.7,119.43,119.7,120.02,120.01,126.5,0
64,120.54,120.78,120.28,119.37,119.76,120.03,0
14,112.57,109.16,103.31,107.06,106.96,110.91,0
156,101.4,107.98,110.25,111.68,112.32,98.855,0
40,120.82,120.32,120.14,122.16,122.94,118.32,0
492,115.11,114.8,114.14,113.99,113.36,115.21,1
379,94.874,94.445,94.154,93.433,93.034,94.339,0
187,106.71,106.2,105.82,105.04,105.74,106.2,0
216,109.92,108.15,111.41,111.79,112.43,109.46,0
52,117.27,120.4,120.89,119.67,121.17,118.07,1
337,90.093,90.979,90.366,90.296,90.804,87.979,0
295,98.984,97.935,97.885,97.797,98.607,99.233,1
251,92.857,96.949,98.885,101.44,101.35,93.349,1
461,107.11,108.09,109.27,109.17,111.17,108.66,1
455,112.1,113.17,115.78,115.2,114.17,111.35,0
714,174.18,173.63,171.88,167.51,166.29,175.61,1
269,92.761,90.961,92.839,93.715,90.585,93.506,1
201,110.51,114.16,110.72,109.07,109.08,109.81,0
161,108.6,108.25,105.15,99.452,98.855,108.09,0
