,t-1,t,movement
269,5183443275.12,93.715,1
201,5571799964.28,109.07,0
161,16722219568.285,99.452,1
555,5310839987.400001,139.83,1
401,3598876628.23,106.11,1
476,3051429035.8,110.03,1
105,4974625808.26,122.77,0
565,2699787496.0,142.04,1
389,2464903820.253,96.831,0
1,6827386392.22,100.59,1
672,2719199109.2200003,161.5,0
561,3130261463.0,142.14,1
80,8153019521.28,118.94,0
205,7646733040.42,109.81,0
34,9431647576.0,125.61,0
508,3764571801.55,117.23,1
427,6611242422.400001,109.44,1
454,2764512329.7000003,114.17,0
366,2976303165.0,92.839,0
91,5829412754.009999,122.89,0
339,2874014451.462,90.979,1
564,2691777280.8100004,142.0,0
345,4105124222.496,92.09,1
241,6261412309.74,104.91,0
13,8599497422.99,106.96,1
315,2722276881.4,107.41,1
600,3531709033.2000003,152.65,0
387,3571205753.892,97.261,1
273,4282691421.295,93.506,1
166,6339974957.37,103.26,0
714,5613731728.65,167.51,1
646,4883139737.49,148.39,0
484,2622210273.28,107.38,0
703,3044585064.3,159.19,0
504,3221970351.81,114.19,0
243,10227873684.57,103.33,1
566,2871969399.64,143.1,1
562,4710424508.339999,142.46,1
189,6404472431.5,106.2,1
475,2892046396.84,109.96,1
681,7810130054.92,158.1,0
510,3167106340.76,117.37,0
58,4874394538.0,120.1,1
474,2913684426.63,108.31,1
560,3012547708.46,139.25,1
252,6619990934.72,98.885,0
21,6157863915.839999,113.17,1
313,2762148455.06,107.56,1
459,3208588751.8,111.35,0
160,13568175613.2,98.855,0
276,5008795795.968,91.948,0
191,5438400026.16,106.2,0
385,3468705350.997,96.199,0
413,2066613164.74,105.78,0
491,4830202490.88,113.36,0
343,3840613957.092,91.427,1
308,2761303174.92,101.82,0
661,4340470399.44,156.94,0
130,7563784501.650001,119.92,1
663,4141130160.7,159.21,1
99,6051829723.83,125.75,0
372,5911270185.839999,89.635,0
87,7089237816.58,120.54,0
458,7438877425.45,112.1,0
330,4120431536.13,94.678,0
