t-1,t-2,t-3,t-4,t-5,t,movement
3154082515.2,3100261951.73,3446319363.75,4141130160.7,156.94,159.29,1
4071327357.35,3154082515.2,3100261951.73,3446319363.75,156.65,160.89,1
4149425339.61,4071327357.35,3154082515.2,3100261951.73,159.21,162.33,1
4799082401.190001,4149425339.61,4071327357.35,3154082515.2,159.41,162.76,1
4446763518.599999,4799082401.190001,4149425339.61,4071327357.35,158.7,163.41,1
4386313642.62,4446763518.599999,4799082401.190001,4149425339.61,159.29,163.46,1
2719199109.2200003,4386313642.62,4446763518.599999,4799082401.190001,160.89,161.5,0
4782248690.5,2719199109.2200003,4386313642.62,4446763518.599999,162.33,161.33,0
3499257379.8,4782248690.5,2719199109.2200003,4386313642.62,162.76,160.68,0
3532718514.0,3499257379.8,4782248690.5,2719199109.2200003,163.41,158.06,0
4509059337.02,3532718514.0,3499257379.8,4782248690.5,163.46,160.92,1
5089927600.08,4509059337.02,3532718514.0,3499257379.8,161.5,160.28,0
11518495433.24,5089927600.08,4509059337.02,3532718514.0,161.33,159.08,0
7163262316.64,11518495433.24,5089927600.08,4509059337.02,160.68,157.71,0
3741652086.48,7163262316.64,11518495433.24,5089927600.08,158.06,159.31,1
7810130054.92,3741652086.48,7163262316.64,11518495433.24,160.92,158.1,0
4468008606.9,7810130054.92,3741652086.48,7163262316.64,160.28,158.16,1
3268908766.56,4468008606.9,7810130054.92,3741652086.48,159.08,155.51,0
8146673600.65,3268908766.56,4468008606.9,7810130054.92,157.71,152.84,0
5732149875.68,8146673600.65,3268908766.56,4468008606.9,159.31,151.35,0
7075726466.55,5732149875.68,8146673600.65,3268908766.56,158.1,150.01,0
6679693283.2,7075726466.55,5732149875.68,8146673600.65,158.16,152.59,1
5608886435.1,6679693283.2,7075726466.55,5732149875.68,155.51,153.68,1
3918024420.24,5608886435.1,6679693283.2,7075726466.55,152.84,152.73,0
3369734070.93,3918024420.24,5608886435.1,6679693283.2,151.35,153.57,1
4048026111.45,3369734070.93,3918024420.24,5608886435.1,150.01,153.26,0
2873603543.6,4048026111.45,3369734070.93,3918024420.24,152.59,153.92,1
2505430645.12,2873603543.6,4048026111.45,3369734070.93,153.68,152.93,0
3087393201.61,2505430645.12,2873603543.6,4048026111.45,152.73,154.83,1
