Date,t-1,t,movement
2016-06-27,4077653549.0600004,91.145,1
2016-06-28,3606170427.435,91.934,1
2016-06-29,3028589484.456,93.102,1
2016-06-30,3230885096.178,93.384,1
2016-07-01,2390955563.088,92.556,0
2016-07-05,2578540835.5559998,93.034,1
2016-07-06,2801215596.0600004,93.433,1
2016-07-07,2276030963.289,94.154,1
2016-07-08,2567118319.554,94.445,1
2016-07-11,2197699827.5699997,94.874,1
2016-07-12,2114563760.998,94.339,0
2016-07-13,2113100581.746,96.199,1
2016-07-14,3468705350.9969997,96.199,0
2016-07-15,2917904027.6419997,97.222,1
2016-07-18,3571205753.8919997,97.261,1
2016-07-19,2206899747.89,97.347,1
2016-07-20,2464903820.253,96.831,0
2016-07-21,2997195999.336,96.082,0
2016-07-22,2546756698.1499996,94.796,0
2016-07-25,3706097776.368,94.144,0
2016-07-26,3911076724.352,100.26,1
2016-07-27,9252020371.5,101.61,1
2016-07-28,3876145832.07,101.49,0
2016-07-29,2586316761.3599997,103.28,1
2016-08-01,3899407250.08,101.75,0
2016-08-02,3283969650.5,103.02,1
2016-08-03,2895599314.14,103.67,1
2016-08-04,2671996696.53,105.23,1
2016-08-05,3598876628.23,106.11,1
2016-08-08,2775304503.36,106.54,1
2016-08-09,2773087363.6200004,105.75,0
2016-08-10,2407705107.75,105.68,0
2016-08-11,2518701453.1200004,105.93,1
2016-08-12,1936034623.71,107.19,1
2016-08-15,2680138992.5099998,107.1,0
2016-08-16,3585804282.8999996,106.93,0
2016-08-17,2482672938.2000003,106.81,0
2016-08-18,2061087256.03,107.08,1
2016-08-19,2683185904.52,106.25,0
2016-08-22,2667475737.5,106.58,1
2016-08-23,2066613164.74,105.78,0
2016-08-24,2433102901.2,105.32,0
2016-08-25,2463739912.04,104.7,0
2016-08-26,2865692292.3,104.59,0
2016-08-29,2501966210.2200003,103.78,0
2016-08-30,2367792278.66,103.89,1
2016-08-31,2832627755.16,104.5,1
2016-09-01,2618028886.0,105.48,1
2016-09-02,2775509479.8,105.45,0
2016-09-06,2503451858.85,106.1,1
2016-09-07,4212937209.1,103.32,0
2016-09-08,5240368806.12,100.98,0
2016-09-09,4540470374.88,103.24,1
2016-09-12,4313960520.28,105.7,1
2016-09-13,6611242422.400001,109.44,1
2016-09-14,11886620071.68,113.15,1
2016-09-15,10234178074.6,112.53,0
2016-09-16,8098180038.96,111.21,0
2016-09-19,5267989675.08,111.2,0
2016-09-20,3853807248.0,111.18,0
2016-09-21,3771668096.4,112.23,1
2016-09-22,3381635237.85,110.36,0
2016-09-23,5827310938.2,110.52,1
2016-09-26,3231676969.56,110.72,1
2016-09-27,2702146622.72,111.58,1
2016-09-28,3287126938.7599998,109.85,0
2016-09-29,3886867588.5,110.68,1
2016-09-30,3770096492.44,110.18,0
2016-10-03,2345732200.0,110.63,1
2016-10-04,3310854986.4,110.68,1
2016-10-05,2260242654.92,111.52,1
2016-10-06,3195571809.44,111.69,1
2016-10-07,2733096407.13,113.63,1
2016-10-10,4102868976.47,113.88,1
2016-10-11,7243009311.719999,114.9,1
2016-10-12,4336905670.5,114.54,0
2016-10-13,3986763312.36,115.18,1
2016-10-14,4053325180.32,115.11,0
2016-10-17,2586943347.93,115.03,0
2016-10-18,2589124802.71,114.68,0
2016-10-19,2287309457.96,114.62,0
2016-10-20,2764512329.7000003,114.17,0
2016-10-21,2548354661.51,115.2,1
2016-10-24,2672816716.8,115.78,1
2016-10-25,4558582089.32,113.17,0
2016-10-26,7438877425.45,112.1,0
2016-10-27,3208588751.7999997,111.35,0
2016-10-28,3954881308.1499996,111.17,0
2016-10-31,2999596944.2400002,109.17,0
2016-11-01,4886362082.34,109.27,1
2016-11-02,3161739469.7,108.09,0
2016-11-03,2957959053.4500003,107.11,0
2016-11-04,3356065419.46,108.66,1
2016-11-07,3487685120.46,109.31,1
2016-11-08,2551361751.17,109.13,0
2016-11-09,6181057940.259999,106.08,0
2016-11-10,6071369566.08,106.72,1
2016-11-11,3656314603.68,104.04,0
2016-11-14,5409919258.200001,105.41,1
2016-11-15,3455693450.5499997,108.25,1
2016-11-16,6394900467.25,108.21,0
2016-11-17,2913684426.6299996,108.31,1
2016-11-18,2892046396.84,109.96,1
2016-11-21,3051429035.7999997,110.03,1
2016-11-22,2504620702.13,109.47,0
2016-11-23,2749199147.34,110.02,1
2016-11-25,1237061799.44,109.81,0
2016-11-28,2801031942.66,109.7,0
2016-11-29,3084195315.2000003,108.77,0
2016-11-30,3642432546.98,107.76,0
2016-12-01,3819364188.96,108.16,1
2016-12-02,2622210273.2799997,107.38,0
2016-12-05,3523941968.8199997,108.21,1
2016-12-06,2769462138.6299996,109.28,1
2016-12-07,3254564283.52,110.35,1
2016-12-08,2902173108.85,112.15,1
2016-12-09,3801792139.8,111.51,0
2016-12-12,2936532886.56,113.36,1
2016-12-13,4830202490.88,113.36,0
2016-12-14,3727291083.36,113.99,1
2016-12-15,5026077515.33,114.14,1
2016-12-16,4488724427.2,114.8,1
2016-12-19,3068156394.7999997,115.11,1
2016-12-20,2208368428.83,115.21,1
2016-12-21,2533352113.95,114.45,0
2016-12-22,2926048843.2000003,114.68,1
2016-12-23,1605337888.16,115.41,1
2016-12-27,2052761200.44,114.92,0
2016-12-28,2254658919.76,114.89,0
2016-12-29,1722003489.2,113.99,0
2016-12-30,3542595012.79,114.31,1
2017-01-03,3221970351.81,114.19,0
2017-01-04,2380919165.95,114.77,1
2017-01-05,2530072399.63,116.04,1
2017-01-06,3645920404.5600004,117.11,1
2017-01-09,3764571801.55,117.23,1
2017-01-10,2523504234.08,117.86,1
2017-01-11,3167106340.7599998,117.37,0
2017-01-12,3180629113.42,117.16,0
2017-01-13,3023247370.2799997,118.1,1
2017-01-17,3830915281.3999996,118.09,0
2017-01-18,2709011288.34,117.89,0
2017-01-19,2856051239.12,118.1,1
2017-01-20,3409734070.3999996,118.19,1
2017-01-23,2337087405.34,118.07,0
2017-01-24,2710381978.47,119.95,1
2017-01-25,3860139378.15,120.01,1
2017-01-26,3091902117.04,120.02,1
2017-01-27,2453516891.34,119.7,0
2017-01-30,3617482068.9,119.43,0
2017-01-31,4843124285.13,126.7,1
2017-02-01,14194956638.800001,126.5,0
2017-02-02,4129329759.5,127.03,1
2017-02-03,3163225223.09,128.23,1
2017-02-06,3402600489.2799997,129.44,1
2017-02-07,4765880742.88,129.95,1
2017-02-08,2833932056.7499995,130.89,1
